language_no	language	predicate_no	predicate_label_en	argument_frame_en	predicate_label_ru	argument_frame_ru	verb	X	Y	locus	valency_pattern	comms	sentence	glosses_en	back_translation_en	glosses_ru	back_translation_ru	comms_internal
24	Spanish	1	feel_pain	X (have) Yache	болеть-1	у X-а (болеть) Y	doler	NDIR.OBJ	SBJ	X	NDIR.OBJ_SBJ		a Pedro le duel-e la cabeza	NDIR.OBJ PN[SG.M] he.NDIR.OBJ ache-PRS.3SG ART.DEF.SG.F head[SG.F]	‘Pedro has a headache.’	NDIR.OBJ PN[SG.M] он.NDIR.OBJ болеть-PRS.3SG ART.DEF.SG.F голова[SG.F]	‘У Педро болит голова.’	
24	Spanish	2	have#illness#	X (have) Y	болеть-2	X (болеть) Y-ом	tener	SBJ	DO	TR	TR		Pedro tien-e la gripe	PN[SG.M] have-PRS.3SG ART.DEF.SG.F flu[SG.F]	‘Pedro has a flu.’	PN[SG.M] иметь-PRS.3SG ART.DEF.SG.F грипп[SG.F]	‘Педро болеет гриппом.’	Same as (18), (38), (85)
24	Spanish	3	be_afraid	X (be afraid) of Y	бояться	X (бояться) Y-а	temer	SBJ	DO	TR	TR		Pedro tem-e a=l perro	PN[SG.M] fear-PRS.3SG DIR.OBJ.ANM=ART.DEF.SG.M dog[SG.M]	‘Pedro is afraid of the dog.’	PN[SG.M] бояться-PRS.3SG DIR.OBJ.ANM=ART.DEF.SG.M собака[SG.M]	‘Педро боится собаки.’	TR более высокий стиль, также возможно Pedro tien-e miedo de=l perro Педро[SG.M] иметь-PRS.3SG страх [SG.M] от/из =ART.DEF.SG.M собака[SG.M]
24	Spanish	4	throw	X (throw) Y	бросить	X (бросить) Y(-а)	tirar	SBJ	DO	TR	TR		Pedro ha tira-do una piedra	PN[SG.M] AUX.3SG throw-PTCP:PRF ART.NDEF.SG.F stone[SG.F]	‘Pedro threw a stone.’	PN[SG.M] AUX.3SG бросать-PTCP:PRF ART.NDEF.SG.F камень[SG.F]	‘Педро бросил камень.’	
24	Spanish	5	have_enough	X (have enough) Y	быть достаточно	X-у (хватать) Y-а	alcanzar	NDIR.OBJ	SBJ	X	NDIR.OBJ_SBJ		a Pedro le alcanz-a el dinero	NDIR.OBJ PN[SG.M] he.NDIR.OBJ reach-PRS.3SG ART.DEF.SG.M money[SG.M]	‘Now Pedro has enough money.’	NDIR.OBJ PN[SG.M] он.NDIR.OBJ достигать-PRS.3SG ART.DEF.SG.M деньги[SG.M]	‘Педро хватает денег.’	Same verb as in (19), (21). также возможно и Pedro tien-e suficiente dinero. Педро[SG.M] иметь-PRS.3SG достаточно деньги[SG.M]
24	Spanish	6	resemble	X (resemble) Y	быть похожим	X (быть похожим) на Y(-а)	parecerse	SBJ	NDIR.OBJ	Y	SBJ_NDIR.OBJ		Pedro se parec-e a María	PN[SG.M] REFL.3SG resemble-PRS.3SG NDIR.OBJ PN[SG.F]	‘Pedro resembles Maria.’	PN[SG.M] REFL.3SG походить-PRS.3SG NDIR.OBJ PN[SG.F]	‘Педро похож на Марию.’	RV
24	Spanish	7	believe	X (believe) Y	верить	X (верить)Y-у	creer	SBJ	NDIR.OBJ	Y	SBJ_NDIR.OBJ		Pedro cre-e a María	PN[SG.M] believe-PRS.3SG NDIR.OBJ PN[SG.F]	‘Pedro believes Maria.’	PN[SG.M] верить-PRS.3SG NDIR.OBJ PN[SG.F]	‘Педро верит Марии.’	
24	Spanish	8	take	X (take) Y	взять	X (брать) Y(-а)	coger	SBJ	DO	TR	TR		Pedro ha cogi-do un libro de=l estante	PN[SG.M] AUX.3SG take-PTCP:PRF ART.NDEF.SG.M book[SG.M] from=ART.DEF.SG.M shelf[SG.M]	‘Pedro took a book from the shelf.’	PN[SG.M] AUX.3SG взять-PTCP:PRF ART.NDEF.SG.M книга[SG.M] от/из=ART.DEF.SG.M полка[SG.M]	‘Педро взял книгу с полки.’	
24	Spanish	9	see	X (see) Y	видеть	X (видеть) Y(-а)	ver	SBJ	DO	TR	TR		Pedro ve una casa	PN[SG.M] see[PRS.3SG] ART.NDEF.SG.F house[SG.F]	‘Pedro sees a house.’	PN[SG.M] видеть[PRS.3SG] ART.NDEF.SG.F дом[SG.F]	‘Педро видит дом.’	
24	Spanish	10	influence	X (influence) Y	влиять	X (влиять) на Y(-а)	influir	SBJ	en	Y	SBJ_en		la edad influy-e en la memoria	ART.DEF.SG.F age[SG.F] influence-PRS.3SG in ART.DEF.SG.F memory[SG.F]	‘Age influences memory.’	ART.DEF.SG.F возраст[SG.F] влиять-PRS.3SG в/на ART.DEF.SG.F память[SG.F]	‘Возраст влияет на память.’	
24	Spanish	11	encounter	X (encounter) Y	встречаться	X (встречаться) с Y-ом	encontrarse	SBJ	con	Y	SBJ_con		Pedro se ha encontra-do con María	PN[SG.M] REFL.3SG AUX. 3SG encounter-PTCP:PRF with PN[SG.F]	‘Pedro encountered Maria.’	PN[SG.M] REFL.3SG AUX. 3SG встретить-PTCP:PRF с PN[SG.F]	‘Педро встретился с Марией.’	RV
24	Spanish	12	enter	X (enter) Y	входить 	X (входить) в Y (дом)	entrar	SBJ	en	Y	SBJ_en		Pedro ha entra-do en la casa	PN[SG.M] AUX.3SG enter-PTCP:PRF in ART.DEF.SG.F house[SG.F]	‘Pedro entered the house.’	PN[SG.M] AUX.3SG войти-PTCP:PRF в/на ART.DEF.SG.F дом[SG.F]	‘Педро вошел в дом.’	
24	Spanish	13	win	X (beat) Y	выиграть	X (выигрывать) у Y-а	ganar	SBJ	DO	TR	TR		Pedro ha gana-do a María a=l ajedrez	PN[SG.M] AUX.3SG win-PTCP:PRF DIR.OBJ.ANM PN[SG.F] to=ART.DEF.SG.M chess[SG.M]	‘Pedro won over Maria at chess.’	PN[SG.M] AUX. 3SG обыграть-PTCP:PRF DIR.OBJ.ANM PN[SG.F] к=ART.DEF.SG.M шахматы[SG.M]	‘Педро обыграл Марию в шахматы.’	
24	Spanish	14	go_out	X (go out) of Y	выходить	X (выходить) из Y-а	salir	SBJ	de	Y	SBJ_de		Pedro sali-ó de casa	PN[SG.M] go_out-AOR.3SG from house[SG.F]	‘Pedro went out of the house.’	PN[SG.M] выйти-AOR.3SG от/из дом[SG.F]	‘Педро вышел из дома.’	
24	Spanish	15	drive	X (drive) Y	гнать	X (гнать) Y-а	arrear	SBJ	DO	TR	TR		Pedro arre-a a la vaca a los pastos	PN[SG.M] drive-PRS.3SG DIR.OBJ.ANM ART.DEF.SG.F cow[SG.F] to ART.DEF.M.PL pasture[PL.M]	‘Pedro is driving the cow to the pasture.’	PN[SG.M] гнать-PRS.3SG DIR.OBJ.ANM ART.DEF.SG.F корова[SG.F] к ART.DEF.M.PL пастбище[PL.M]	‘Педро гонит корову на пастбище.’	
24	Spanish	16	bend	X (bend) Y	гнуть	X (гнуть) Y	encorvar	SBJ	DO	TR	TR		Pedro ha encorva-do una rama	PN[SG.M] AUX.3SG bend-PTCP:PRF ART.NDEF.SG.F branch[SG.F]	‘Pedro bent the branch.’	PN[SG.M] AUX.3SG сгибать-PTCP:PRF ART.NDEF.SG.F ветка[SG.F]	‘Педро согнул ветку.’	
24	Spanish	17	tell	X (tell) Y	говорить	X (говорить) Y-у	decir	SBJ	NDIR.OBJ	Y	SBJ_NDIR.OBJ		Pedro ha dich-o a María: ven a ver-me	PN[SG.M] AUX.3SG tell-PTCP:PRF NDIR.OBJ PN[SG.F] come.IMP to see.INF-DIR.OBJ.1SG	‘Pedro told Maria: come to my place!’	PN[SG.M] AUX.3SG говорить-PTCP:PRF NDIR.OBJ PN[SG.F] приходить.IMP к видеть.INF-DIR.OBJ.1SG	‘Педро сказал Марии: приходи ко мне в гости.’	
24	Spanish	18	hold	X (hold)Y	держать	X (держать) Y(-а)	tener	SBJ	DO	TR	TR		Pedro tien-e un libro en la-s mano-s	PN[SG.M] have-PRS.3SG ART.NDEF.SG.M book[SG.M] in ART.DEF.F-PL hand[SG.F]-PL	‘Pedro is holding a book in his hands.’	PN[SG.M] иметь-PRS.3SG ART.NDEF.SG.M книга[SG.M] в ART.DEF.F-PL рука[SG.F]-PL	‘Педро держит книгу в руках.’	Same as (2), (38), (85)
24	Spanish	19	catch_up	X (catch up) with Y	догнать	X (догонять) Y(-а)	alcanzar	SBJ	DO	TR	TR		Pedro ha alcanza-do a Maria	PN[SG.M] AUX.3SG reach-PTCP:PRF DIR.OBJ.ANM PN[SG.F]	‘Pedro caught up with Maria.’	PN[SG.M] AUX.3SG достигать-PTCP:PRF DIR.OBJ.ANM PN[SG.F]	‘Педро догнал Марию.’	Same verb as in (5), (21), same pattern as in (21)
24	Spanish	20	milk	X (milk) Y	доить	X (доить) Y-а	ordeñar	SBJ	DO	TR	TR		Pedro ordeñ-ó la vaca	PN[SG.M] milk-AOR.3SG ART.DEF.SG.F cow[SG.F]	‘Pedro milked the cow.’	PN[SG.M] доить-AOR.3SG ART.DEF.SG.F корова[SG.F]	‘Педро подоил корову.’	
24	Spanish	21	reach	X (reach) Y	достичь	X (достичь) Y-а (берега) 	alcanzar	SBJ	DO	TR	TR		Pedro alcanz-ó la orilla	PN[SG.M] reach-AOR.3SG ART.DEF.SG.F bank[SG.F]	‘Pedro reached the coast.’	PN[SG.M] достигать-AOR.3SG ART.DEF.SG.F берег[SG.F]	‘Педро достиг берега.’	Same verb as in (5), (19), same pattern as in (19)
24	Spanish	22	touch	X (touch) Y	дотронуться	X (дотрагиваться) до Y-а	tocar	SBJ	DO	TR	TR		Pedro toc-ó la pared	PN[SG.M] touch-AOR.3SG ART.DEF.SG.F wall[SG.F]	‘Pedro touched the wall.’	PN[SG.M] дотрагиваться-AOR.3SG ART.DEF.SG.F стена[SG.F]	‘Педро дотронулся до стены.’	Same as (34)
24	Spanish	23	fight	X (fight) with Y	драться	X (драться) с Y-ом	pegarse	*	*	*		Not included in the database because X and Y are expressed as a coordinate NP.	Pedro y Maria se están pega-ndo	PN[SG.M] and PN[SG.F] REFL.3PL be_PROG.PRS.3PL stick-GER:PROG	‘Pedro is fighting with Maria.’	PN[SG.M] и PN[SG.F] REFL.3PL быть_PROG.PRS.3PL приклеивать-GER:PROG	‘Педро и Мария дерутся.’	
24	Spanish	24	be_friends	X (be friends) with Y	дружить	X (дружить) с Y-ом	ser amigo	*	*	*		Not included in the database because Y is expressed as an NP-internal modifier.	Pedro es amigo de María	PN[SG.M] be_HAB.PRS.3SG friend[SG.M] from PN[SG.F]	‘Pedro is friends with Maria.’	PN[SG.M] быть_HAB.PRS.3SG друг[SG.M] от/из PN[SG.F]	‘Педро дружит с Марией.’	
24	Spanish	25	think	X (think) about Y	думать	X (думать) об Y-е (об отце)	pensar	SBJ	en	Y	SBJ_en		Pedro está pensa-ndo en María	PN[SG.M] be_PROG.PRS.3SG think-GER:PROG in PN[SG.F]	‘Pedro is thinking about Maria.’	PN[SG.M] be_PROG.PRS.3SG думать-GER:PROG в/на PN[SG.F]	‘Педро думает о Марии.’	
24	Spanish	26	eat	X (eat) Y	есть	X (есть) Y	comerse	SBJ	DO	TR	TR		Pedro se ha comi-do una manzana	PN[SG.M] REFL.3SG AUX.3SG eat-PTCP:PRF ART.NDEF.SG.F apple[SG.F]	‘Pedro ate an apple.’	PN[SG.M] REFL.3SG AUX.3SG есть-PTCP:PRF ART.NDEF.SG.F яблоко[SG.F]	‘Педро съел яблоко.’	
24	Spanish	27	fry	X (fry) Y	жарить	X (жарить) Y	freír	SBJ	DO	TR	TR		Pedro ha frei-do pescado	PN[SG.M] AUX.3SG fry-PTCP:PRF fish[SG.M]	‘Pedro fried the fish.’	PN[SG.M] AUX.3SG жарить-PTCP:PRF рыба[SG.M]	‘Педро пожарил рыбу.’	
24	Spanish	28	wait	X (wait) for Y	ждать	X (ждать) Y-а (сына)	esperar	SBJ	DO	TR	TR		Pedro esper-a a María	PN[SG.M] wait-PRS.3SG DIR.OBJ.ANM PN[SG.F]	‘Pedro is waiting for Maria.’	PN[SG.M] ждать-PRS.3SG DIR.OBJ.ANM PN[SG.F]	‘Педро ждет Марию.’	
24	Spanish	29	forget	X (forget) (about) Y	забывать	X (забывать) об Y-е	olvidarse	DO	SBJ	X	DO_SBJ		a Pedro se lo/le olvid-ó el otr-o camino	DIR.OBJ.ANM PN[SG.M] REFL.3SG he.DIR.OBJ forget-AOR.3SG ART.DEF.SG.M other-SG.M road[SG.M]	‘Pedro forgot about the other way.’	DIR.OBJ.ANM PN[SG.M] REFL.3SG он.DIR.OBJ забывать-AOR.3SG ART.DEF.SG.M другой-SG.M дорога[SG.M]	‘Педро забыл о другой дороге.’	Transitive construction (olvidar) is also possible
24	Spanish	30	depend	X (depend) on Y	зависеть	X (зависеть) от Y-а	depender	SBJ	de	Y	SBJ_de		la memoria depend-e de la edad	ART.DEF.SG.F memory[SG.F] depend-PRS.3SG from ART.DEF.SG.F age[SG.F]	‘Memory depends on age.’	ART.DEF.SG.F память[SG.F] зависеть-PRS.3SG от/из ART.DEF.SG.F возраст[SG.F]	‘Память зависит от возраста.’	
24	Spanish	31	call	X (call) Y	звать	X (звать) Y-а	llamar	SBJ	DO	TR	TR		entonces Pedro llam-ó a María	then PN[SG.M] call-AOR.3SG DIR.OBJ.ANM PN[SG.F]	‘Pedro called Maria.’	тогда PN[SG.M] звать-AOR.3SG DIR.OBJ.ANM PN[SG.F]	‘Педро позвал Марию.’	
24	Spanish	32	get_to_know	X (get to know) Y	знакомиться	X (знакомиться) с Y-ом	conocer	SBJ	DO	TR	TR		Pedro conoci-ó a María hac-e un año	PN[SG.M] know-AOR.3SG DIR.OBJ.ANM PN[SG.F] make-PRS.3SG ART.NDEF.SG.M year[SG.M]	‘Pedro got to know Maria a year ago.’	PN[SG.M] знакомиться-AOR.3SG DIR.OBJ.ANM PN[SG.F] делать-PRS.3SG ART.NDEF.SG.M год[SG.M]	‘Педро познакомился с Марией год назад.’	Same as in (33)
24	Spanish	33	know	X (know) Y	знать 	X (знать) Y-а	conocer	SBJ	DO	TR	TR		Pedro conoc-e a María	PN[SG.M] know-PRS.3SG DIR.OBJ.ANM PN[SG.F]	‘Pedro knows Maria.’	PN[SG.M] знать-PRS.3SG DIR.OBJ.ANM PN[SG.F]	‘Педро знает Марию.’	Same as in (32)
24	Spanish	34	play#instrument#	X (play) Y	играть	X (играть) на Y-е	tocar	SBJ	DO	TR	TR		Pedro toc-a la guitarra	PN[SG.M] touch-PRS.3SG ART.DEF.SG.F guitar[SG.F]	‘Pedro is playing the guitar.’	PN[SG.M] трогать-PRS.3SG ART.DEF.SG.F гитара[SG.F]	‘Педро играет на гитаре.’	Same as (22)
24	Spanish	35	avoid	X (avoid) Y	избегать	X (избегать) Y-а	evitar	SBJ	DO	TR	TR		Pedro evit-a a María	PN[SG.M] avoid-PRS.3SG DIR.OBJ.ANM PN[SG.F]	‘Pedro avoids Maria.’	PN[SG.M] избегать-PRS.3SG DIR.OBJ.ANM PN[SG.F]	‘Педро избегает Марию.’	
24	Spanish	36	make	X (make) Y	изготовить	X (изготовить) Y	fabricar	SBJ	DO	TR	TR		Pedro ha fabrica-do una bomba	PN[SG.M] AUX.3SG make-PTCP:PRF ART.NDEF.SG.F bomb[SG.F]	‘Pedro made a bomb.’	PN[SG.M] AUX.3SG изготавливать-PTCP:PRF ART.NDEF.SG.F бомба[SG.F]	‘Педро изготовил бомбу.’	
24	Spanish	37	make_fun	X (make fun) of Y	издеваться	X (издеваться) над Y-ом	burlarse	SBJ	de	Y	SBJ_de		Pedro se burl-a de María	PN[SG.M] REFL.3SG make_fun-PRS.3SG from PN[SG.F]	‘Pedro is making fun of Maria.’	PN[SG.M] REFL.3SG издеваться-PRS.3SG от/из PN[SG.F]	‘Педро издевается над Марией.’	RV
24	Spanish	38	have	X (have) Y	иметь	X (иметь) Y	tener	SBJ	DO	TR	TR		Pedro tien-e coche	PN[SG.M] have-PRS.3SG car[SG.M] 	‘Pedro has a car.’	PN[SG.M] иметь-PRS.3SG машина[SG.M] 	‘У Педро есть машина.’	Same as (2), (18), (85)
24	Spanish	39	look_for	X (look for) Y	искать	X (искать) Y(-а)	buscar	SBJ	DO	TR	TR		Pedro busc-a la-s llave-s	PN[SG.M] look_for-PRS.3SG ART.DEF.F-PL key[SG.F]-PL	‘Pedro is looking for his keys.’	PN[SG.M] искать-PRS.3SG ART.DEF.F-PL ключ[SG.F]-PL	‘Педро ищет ключи.’	
24	Spanish	40	paint	X (paint) Y	красить	X (красить) Y	pintar	SBJ	DO	TR	TR		Pedro ha pinta-do la valla	PN[SG.M] AUX.3SG paint-PTCP:PRF ART.DEF.SG.F fence[SG.F]	‘Pedro painted the fence.’	PN[SG.M] AUX.3SG красить-PTCP:PRF ART.DEF.SG.F забор[SG.F]	‘Педро покрасил забор.’	
24	Spanish	41	bite	X (bite) Y	кусать	X (кусать) Y-а	morder	SBJ	DO	TR	TR		un perro mordi-ó a Pedro	ART.NDEF.SG.M dog[SG.M] bite-AOR.3SG DIR.OBJ.ANM PN[SG.M]	‘A dog bit Pedro.’	ART.NDEF.SG.M собака[SG.M] кусать-AOR.3SG DIR.OBJ.ANM PN[SG.M]	‘Собака укусила Педро.’	
24	Spanish	42	forfeit	X (lose) Y	лишаться	X (лишаться) Y-а	perder	SBJ	DO	TR	TR		Pedro ha perdi-do su casa	PN[SG.M] AUX.3SG lose-PTCP:PRF one’s[SG.F] house[SG.F]	‘Pedro lost his house.’	PN[SG.M] AUX.3SG терять-PTCP:PRF свой[SG.F] дом[SG.F]	‘Педро лишился дома.’	Same as (103)
24	Spanish	43	try_to_catch	X (try to catch) Y	ловить	X (ловить) Y(-а)	tratar de coger	SBJ	DO	TR	TR		Pedro trat-a de coge-r a=l gato	PN[SG.M] try-PRS.3SG from grasp-INF DIR.OBJ.ANM=ART.DEF.SG.M cat[SG.M]	‘Pedro is trying to catch the cat.’	PN[SG.M] пытаться-PRS.3SG от/из схватить-INF DIR.OBJ.ANM=ART.DEF.SG.M кошка[SG.M]	‘Педро ловит кошку.’	Пытаться поймать.
24	Spanish	44	break	X (break) Y	ломать	X (ломать) Y	romper	SBJ	DO	TR	TR		Pedro ha roto un palo	PN[SG.M] AUX.3SG break.PTCP:PRF ART.NDEF.SG.M stick[SG.M]	‘Pedro broke the stick.’	PN[SG.M] AUX.3SG ломать-PTCP:PRF ART.NDEF.SG.M палка[SG.M]	‘Педро сломал палку.’	
24	Spanish	45	flatter	X (flatter) Y	льстить	X (льстить) Y-у	lisonjear	SBJ	DO	TR	TR		Pedro lisonje-a a María	PN[SG.M] flatter-PRS.3SG DIR.OBJ.ANM PN[SG.F]	‘Pedro is flattering Maria.’	PN[SG.M] льстить-PRS.3SG DIR.OBJ.ANM PN[SG.F]	‘Педро льстит Марии.’	
24	Spanish	46	love1	X (love) Y	любить-1	X (любить) Y-а (сына)	querer	SBJ	DO	TR	TR		Pedro quier-e a María	PN[SG.M] love-PRS.3SG DIR.OBJ.ANM PN[SG.F]	‘Pedro loves Maria.’	PN[SG.M] любить-PRS.3SG DIR.OBJ.ANM PN[SG.F]	‘Педро любит Марию.’	Same as (121). вариант ama
24	Spanish	47	wave	X (wave) Y	махать	X (махать) Y-ом	agitar	SBJ	DO	TR	TR		Pedro agit-a un pañuelo	PN[SG.M] wave-PRS.3SG ART.NDEF.SG.M handkerchief[SG.M]	‘Pedro is waving a handkerchief.’	PN[SG.M] махать-PRS.3SG ART.NDEF.SG.M платок[SG.M]	‘Педро машет платком.’	
24	Spanish	48	dream	X (dream) of Y	мечтать	X (мечтать) об Y-е	soñar	SBJ	con	Y	SBJ_con		Pedro sueñ-a con un coche nuev-o	PN[SG.M] dream-PRS.3SG with ART.NDEF.SG.M car[SG.M] new[SG]-M	‘Pedro is dreaming of a new car.’	PN[SG.M] мечтать-PRS.3SG с ART.NDEF.SG.M машина[SG.M] новый[SG]-M	‘Педро мечтает о новой машине.’	Same as (97)
