language_no	language	predicate_no	predicate_label_en	argument_frame_en	predicate_label_ru	argument_frame_ru	verb	X	Y	locus	valency_pattern	comms	sentence	glosses_en	back_translation_en	glosses_ru	back_translation_ru	comms_internal
44	Georgian	1	feel_pain	X (have) Yache	болеть-1	у X-а (болеть) Y	s-t'k'-iv-a	DAT	NOM	X	DAT_NOM		p'et're-s tav-i s-t'k'-iv-a	PN-DAT head-NOM IO3-ache-R.EXT-S3SG.INACT	‘Peter has a headache.’			
44	Georgian	2	have#illness#	X (have) Y	болеть-2	X (болеть) Y-ом	Ø-a-kv-s	DAT	NOM	X	DAT_NOM		p'etre-s grip'-i Ø-a-kv-s	PN-DAT flu-NOM IO3-VERSION:LOCATIVE-have.INANM-S3SG	‘Peter has the flu.’			
44	Georgian	3	be_afraid	X (be afraid) of Y	бояться	X (бояться) Y-а	Ø-e-šin-i-a	DAT	GEN	XY	DAT_GEN		p'etre-s ȝaγl-is Ø-e-šin-i-a	PN-DAT dog-GEN IO3-VERSION:RELATIVE-fear-STAT-S3SG.INACT	‘Peter is afraid of the dog.’			Есть еще второй вариант, при втором актанте 1 или 2 лица (NOM), он редкий, возможно, диалектный
44	Georgian	4	throw	X (throw) Y	бросить	X (бросить) Y(-а)	Ø-i-srol-a	ERG	NOM	TR	TR		p'et're-m p'irvel-ma Ø-i-srol-a kva-Ø	PN-ERG first-ERG DO3-VERSION:SUBJECTIVE-shoot-S3SG.PRT stone-NOM	‘Peter threw a stone first.’			
44	Georgian	5	have_enough	X (have enough) Y	быть достаточно	X-у (хватать) Y-а	h-q'op-n-i-s	DAT	NOM	X	DAT_NOM		p'etre-s pul-i h-q'op-n-i-s	PN-DAT money-NOM IO3-suffice-STAT-SM-S3SG	‘Peter has enough money.’			
44	Georgian	6	resemble	X (resemble) Y	быть похожим	X (быть похожим) на Y(-а)	h-gav-s	NOM	DAT	Y	NOM_DAT		p'et're-Ø mamia-s h-gav-s	PN-NOM PN-DAT IO3-be_alike-S3SG	‘Peter resembles Mamia.’			
44	Georgian	7	believe	X (believe) Y	верить	X (верить)Y-у	s-ǯer-a	DAT	GEN	XY	DAT_GEN		p'et're-s mamia-si s-ǯer-a	PN-DAT PN-GEN IO3-believe-S3SG.INACT	‘Peter believes Mamia.’			
44	Georgian	8	take	X (take) Y	взять	X (брать) Y(-а)	a-Ø-i-γ-o	ERG	NOM	TR	TR	Upward motion is implied.	p'et're-m taro-[it]-dan c'ign-i a-Ø-i-γ-o	PN-ERG shelf-[INS]-PSTP:EL book-NOM PRV:upwards-DO3-VERSION:SUBJECTIVE-take-S3SG.PRT	‘Peter took a book from the shelf.’			По-грузински это значит "взял снизу", будут другие глаголы, если с высоты живота или снизу
44	Georgian	9	see	X (see) Y	видеть	X (видеть) Y(-а)	Ø-xed-av-s	ERG	NOM	TR	TR		p'et're-Ø saxl-s Ø-xed-av-s	PN-NOM house-DAT DO3-see-SM-S3SG	‘Peter sees a house.’			
44	Georgian	10	influence	X (influence) Y	влиять	X (влиять) на Y(-а)	ze-gavlena-s Ø-a-xd-en-s	ERG	DAT.SUPERESS	Y	ERG_DAT.SUPERESS	Prefix ze- is optional.	asak'-i mexsiereba-[s]-ze ze-gavlena-s Ø-a-xd-en-s	age-NOM memory-[DAT]-PSTP:SUPERESS PRFX:SUPERESS-influence-DAT DO3-FACT/VERSION:NEUTRAL-happen-FACT-S3SG	‘Age influences memory.’			CV. "Оказывать воздействие", со структорой составляющих все ОК - возраст и память два зависимых уровня клаузы
