language_no	language	predicate_no	predicate_label_en	argument_frame_en	predicate_label_ru	argument_frame_ru	verb	X	Y	locus	valency_pattern	comms	sentence	glosses_en	back_translation_en	glosses_ru	back_translation_ru	comms_internal
84	Swedish	1	feel_pain	X (have) Yache	болеть-1	у X-а (болеть) Y	har ont	SBJ	i	Y	SBJ_i		Björn har ont i huvudet.		‘Björn has a headache.’			CV ('have pain')
84	Swedish	2	have#illness#	X (have) Y	болеть-2	X (болеть) Y-ом	har	SBJ	DO	TR	TR		Björn har influensa.		‘Björn has the flu.’			Literally, 'to have'. Same as #38
84	Swedish	3	be_afraid	X (be afraid) of Y	бояться	X (бояться) Y-а	är rädd	SBJ	for	Y	SBJ_for	Non-verbal predicate.	Björn är rädd för hunden.		‘Björn is afraid of the dog.’			NV ('be + afraid')
84	Swedish	4	throw	X (throw) Y	бросить	X (бросить) Y(-а)	kastade	SBJ	DO	TR	TR		Björn kastade en sten först.		‘Björn threw a stone first.’			
84	Swedish	5	have_enough	X (have enough) Y	быть достаточно	X-у (хватать) Y-а	har tillräckligt	*	*	*		Not included in the database because the intended meaning is expressed by a structurally discontinuous combination (predicate + adnominal modifier).	Nu har Björn tillräckligt med pengar.		‘Now Björn has enough money.’			CV. Not included, because "med pengar" is NP-internal, with "tillräckligt" as the head (cf. Emil's comment: "Upon some reflection, we've reached the conclusion that the answer is probably yes. Fronting “tillräckligt med pengar” yields grammatical results, while fronting only “med pengar” does not – for example, “*Med pengar har han ju tillräckligt” isn't grammatical, while “Tillräckligt med pengar har han ju” is." –Emil)
84	Swedish	6	resemble	X (resemble) Y	быть похожим	X (быть похожим) на Y(-а)	liknar	SBJ	DO	TR	TR		Björn liknar Mikael.		‘Björn resembles Mikael.’			
84	Swedish	7	believe	X (believe) Y	верить	X (верить)Y-у	tror	SBJ	DO	TR	TR		Björn tror Maja.		‘Björn believes Maja.’			
84	Swedish	8	take	X (take) Y	взять	X (брать) Y(-а)	tog	SBJ	DO	TR	TR		Björn tog en bok från hyllan.		‘Björn took a book from the shelf.’			
84	Swedish	9	see	X (see) Y	видеть	X (видеть) Y(-а)	ser	SBJ	DO	TR	TR		Björn ser ett hus.		‘Björn sees a house.’			
84	Swedish	10	influence	X (influence) Y	влиять	X (влиять) на Y(-а)	påverkar	SBJ	DO	TR	TR		Åldern påverkar minnet.		‘Age influences memory.’			
