language_no	language	predicate_no	predicate_label_en	argument_frame_en	predicate_label_ru	argument_frame_ru	verb_original_orthography	verb	X	Y	locus	valency_pattern	comms	sentence	glosses_en	back_translation_en	glosses_ru	back_translation_ru	comms_internal	verb_original_orthography	sentence_original_orthography
91	Nivkh	1	feel_pain	X (have) Yache	болеть-1	у X-а (болеть) Y	ӄод 	qоd	LOC/ABL	SBJ	X	LOC/ABL_SBJ		Largun-ux coŋr̥ qо-d	PN-LOC/ABL head ache-IND	‘Largun has a headache.’	PN-LOC/ABL голова болеть-IND	‘У Ларгуна болит голова.’			Ларгунух тёӈр̆ ӄод
91	Nivkh	2	have#illness#	X (have) Y	болеть-2	X (болеть) Y-ом	ӄод 	qоd	SBJ	INS	Y	SBJ_INS		Largun gripp-ɣir̥ qо-d	PN flu-INS be.sick-IND	‘Largun has the flu.’	PN грипп-INS болеть-IND	‘Ларгун болеет гриппом.’			Ларгун гриппғир̆ ӄод
91	Nivkh	3	be_afraid	X (be afraid) of Y	бояться	X (бояться) Y-а	к᾽луд 	kʰlud	SBJ	DO	TR	TR		Irgun qanŋ + xlu-d	PN dog + be.afraid-IND	‘Irgun is afraid of the dog.’	PN собака + бояться-IND	‘Иргун боится собаки.’			Иргун ӄанӈ хлуд
91	Nivkh	4	throw	X (throw) Y	бросить	X (бросить) Y(-а)	пазд 	pazd	SBJ	DO	TR	TR		Kaskazik kоqvеlq paz-d	PN shell throw-IND	‘Kaskazik threw a shell.’	PN ракушка бросать-IND	‘Касказик бросил ракушку.’	С чередованием было бы kaskazik kоqvеlq + vaz-d. ЕГ: Этот глагол обычно используется как непереходный («бросаться») с дополнением в инструменталисе kоqvеlq­ɣiř		Касказик коӄвелӄ пазд
91	Nivkh	5	have_enough	X (have enough) Y	быть достаточно	X-у (хватать) Y-а	*	*	*	*	*		No satisfactory translation has been obtained.	*	*	*	*	*			*
91	Nivkh	6	resemble	X (resemble) Y	быть похожим	X (быть похожим) на Y(-а)	вотид 	vоcid	SBJ	DO	TR	TR		Kaskazik Largun + bоci-d	PN PN + resemble-IND	‘Kaskazik resembles Largun.’	PN PN + быть_похожим-IND	‘Касказик похож на Ларгуна.’			Касказик Ларгун ботид
91	Nivkh	7	believe	X (believe) Y	верить	X (верить)Y-у	*	*	*	*	*		No satisfactory translation has been obtained.	*	*	*	*	*			*
91	Nivkh	8	take	X (take) Y	взять	X (брать) Y(-а)	ғед 	ɣеd	SBJ	DO	TR	TR		Kaskazik pitɣəŋ ɣе-d	PN book take-IND	‘Kaskazik took a book.’	PN книга брать-IND	‘Касказик взял книгу.’			Касказик питғыӈ ғед
91	Nivkh	9	see	X (see) Y	видеть	X (видеть) Y(-а)	идыд 	idəd	SBJ	DO	TR	TR		Kaskazik taf idə-d	PN house see-IND	‘Kaskazik sees a house.’	PN дом видеть-IND	‘Касказик видит дом.’			Касказик таф идыд
91	Nivkh	10	influence	X (influence) Y	влиять	X (влиять) на Y(-а)	*	*	*	*	*		No satisfactory translation has been obtained.	*	*	*	*	*			*
