language_no	predicate_no	verb	X	Y	locus	valency_pattern	sentence	glosses_en	back_translation_en	comms	glosses_ru	back_translation_ru	verb_original_orthography	sentence_original_orthography
60	1	χ’ə	IO	ABS	X	IO_ABS	á-č̣’ḳʷən j-qá jə́-χ’-əj-ṭ	DEF-boy 3SG.M.IO-head 3SG.M.IO-ache-PRS-DCL	‘The boy has a headache.’		DEF-парень 3SG.M.IO-голова 3SG.M.IO-болеть-PRS-DCL	‘У парня болит голова.’	хьы	А-чIкIвын й-хъА йЫ-хь-и-тI
60	2	*	*	*	*		*	*	*	No satisfactory translation has been obtained.	*	*	*	*
60	3	[ĉ-]ŝa	ABS	MAL	Y	ABS_MAL	á-č̣’ḳʷən a-lá d-a-ĉ-ŝ-ə́j-ṭ	DEF-boy DEF-dog 3SG.H.ABS-3SG.N.IO-MAL-be_afraid-PRS-DCL	‘The boy is afraid of the dog.’		DEF-парень DEF-собака 3SG.H.ABS-3SG.N.IO-MAL-бояться-PRS-DCL	‘Парень боится собаки.’	[чв-]шва	А-чIкIвын а-лА д-а-чв-шв-И-тI
60	4	w-š’tə	ERG	ABS	TR	TR	á-č̣’ḳʷən-ĉa-kʷa a-háqʷ-kʷa j-á-wə-r-š’t-əj-ṭ	DEF-boy-PL.H-PL DEF-stone-PL 3PL.ABS-3N.IO-LOC-3PL.ERG-throw-PRS-DCL	‘The boys are throwing the stones.’		DEF-парень-PL.H-PL DEF-камень-PL 3PL.ABS-3N.IO-LOC-3PL.ERG-бросить-PRS-DCL	‘Мальчики бросают камни.’	ау-щты	А-чIкIвын-чва-ква а-хIАхъв-ква й-А-уы-р-щт-и-тI
60	5	[z-]qa	BEN	ABS	X	BEN_ABS	wəẑə́ zaréma l-áχč’a lə-z-q-ə́j-ṭ	now PN 3SG.F.IO-money 3SG.F.IO-BEN-be_enough-PRS-DCL	‘Now Zarema has enough money.’		теперь PN 3SG.F.IO-деньги 3SG.F.IO-BEN-быть.достаточным-PRS-DCL	‘Теперь Зареме хватает денег.’	[з-]хъа	ужвЫ ЗарЕма л-Ахча лы-з-хъ-И-тI
60	6	apš	ABS	IO	Y	ABS_IO	wará s-aχš’á w-l-apš-ṗ	you.M 1SG.IO-sister 2SG.M.ABS-3SG.F.IO-similar-NPST.DCL	‘You resemble my sister.’		ты.M 1SG.IO-сестра 2SG.M.ABS-3SG.F.IO-похожий-NPST.DCL	‘Ты похож на мою сестру.’	апш	уарА с-ахщА у-л-апш-пI
60	7	[z-]qa-c̣a	ERG	BEN	Y	ERG_BEN	rasúl zaréma j-lə-z-qá-j-c̣-əj-ṭ	PN PN 3SG.N.ABS-3SG.F.IO-BEN-LOC-3SG.M.ERG-believe-PRS-DCL	‘Rasul believes Zarema.’		PN PN 3SG.N.ABS-3SG.F.IO-BEN-LOC-3SG.M.ERG-верить-PRS-DCL	‘Расул верит Зареме.’	[з-]хъа-цIа	РасУл ЗарЕма й-лы-з-хъА-й-цI-и-тI
60	8	ʕa-χʷ	ERG	ABS	TR	TR	a-phʷə́spa á-pχ’aga ʕa-l-áχʷ-ṭ	DEF-girl DEF-book CISL-3SG.F.ERG-take(AOR)-DCL	‘The girl took the book.’		DEF-девушка DEF-книга CISL-3SG.F.ERG-взять(AOR)-DCL	‘Девушка взяла книгу.’	гIа-хв	а-пхIвЫспа а-пхьАга гIа-л-Ахв-тI
60	9	ba	ERG	ABS	TR	TR	a-phʷə́spa a-tʒə́ l-b-ə́j-ṭ	DEF-girl DEF-house 3SG.F.ERG-see-PRS-DCL	‘The girl sees the house.’		DEF-девушка DEF-дом 3SG.F.ERG-видеть-PRS-DCL	‘Девушка видит дом.’	ба	а-пхIвЫспа а-тдзЫ л-б-И-тI
60	10	*	*	*	*		*	*	*	No satisfactory translation has been obtained.	*	*	*	*
60	11	[p-]č̣a-ŝá	ABS	LOCp	Y	ABS_LOCpca	rasúl murád d-ʕa-j-p.č̣a-ŝá-ṭ	PN PN 3SG.H.ABS-CISL-3SG.M.IO-LOC-fall(AOR)-DCL	‘Rasul ran into Murad.’		PN PN 3SG.H.ABS-CISL-3SG.M.IO-LOC-падать(AOR)-DCL	‘Расул встретился с Мурадом.’	[п-]шIа-швА	РасУл МурАд д-гIа-й-п-шIа-швА-тI
60	12	šəl	ABS	NONARG	Y	ABS_NONARG	a-phʷə́spa a-tʒə́ d-na-šə́l-ṭ	DEF-girl DEF-house 3SG.H.ABS-TRAL-enter(AOR)-DCL	‘The girl entered the house.’		DEF-девушка DEF-дом 3SG.H.ABS-TRAL-входить(AOR)-DCL	‘Девушка вошла в дом.’	шыл	а-пхIвЫспа а-тдзЫ д-на-шЫл-тI
60	13	ajʕaj	ABS	IO	Y	ABS_IO	bará sará b-s-ajʕáj-ṭ	you.F I 2SG.F.ABS-1SG.IO-win(AOR)-DCL	‘You beat me.’		ты.F я 2SG.F.ABS-1SG.IO-выиграть(AOR)-DCL	‘Ты выиграла у меня.’	ай.гIай	барА сарА б-с-айгIАй-тI
60	14	ʕa-[ʒ̂ə.l-]c̣	ABS	LOCzele	Y	ABS_LOCzele	a-phʷə́spa a-tʒə́ d-ʕa-ʒ̂ə́.l-c̣-ṭ	DEF-girl DEF-house 3SG.H.ABS-CISL-LOC-pass-DCL	‘The girl went out of the house.’		DEF-девушка DEF-дом 3SG.H.ABS-CISL-LOC-пройти-DCL	‘Девушка вышла из дома.’	гIа-[джвыл-]цI	а-пхIвЫспа а-тдзЫ д-гIа-джвыл-цI-тI
60	15	t-ca	ERG	ABS	TR	TR	á-raχʷχč’a a-ẑ tə-j-c-ə́j-ṭ	DEF-herdsman DEF-cow LOC-3SG.M.ERG-drive-PRS-DCL	‘The herdsman is driving the cow.’		DEF-пастух DEF-корова LOC-3SG.M.ERG-гнать-PRS-DCL	‘Пастух гонит корову.’	т-ца	А-рахвхча а-жв т-и-ц-И-тI
60	16	rə.qʷa	ERG	ABS	TR	TR	á-č̣’ḳʷən a-q̇ʷadáma j-rə́-qʷa-ṭ	DEF-boy DEF-branch 3SG.M.ERG-CAUS-bend(AOR)-DCL	‘The boy bent the branch.’		DEF-парень DEF-ветка 3SG.M.ERG-CAUS-гнуться(AOR)-DCL	‘Парень согнул ветку.’	ры.хъва	А-чIкIвын а-къвадАма й-ры-хъвА-тI
60	17	hʷa	ERG	IO	Y	ERG_IO	fatíma zaréma j-l-á-l-hʷa-ṭ: sas-rá s-pnə b-ʕa-j	PN PN 3SG.N.ABS-3SG.F.IO-DAT-3SG.F.ERG-say(AOR)-DCL guest-NML 1SG.IO-to 2SG.F.ABS-CISL-come(IMP)	‘Fatima told Zarema: «Come to my place!».’	The absolutive slot corresponds to the content of speech.	PN PN 3SG.N.ABS-3SG.F.IO-DAT-3SG.F.ERG-сказать(AOR)-DCL гость-NML 1SG.IO-к 2SG.F.ABS-CISL-прийти(IMP)	‘Фатима сказала Зареме: «Приходи ко мне в гости».’	хIва	ФатИма ЗарЕма й-л-А-л-хIва-тI: сас-рА с-пны б-гIа-й
60	18	ma	IO	ABS	X	IO_ABS	a-phʷə́spa á-pχ’aga lə́-ma-ṗ	DEF-girl DEF-book 3SG.F.IO-be-NPST.DCL	‘The girl is holding the book.’		DEF-девушка DEF-книга 3SG.F.IO-иметься-NPST.DCL	‘Девушка держит книгу.’	ма	а-пхIвЫспа А-пхьага лы-мА-пI
60	19	[χ’ə-]ʒa	ABS	LOCxe	Y	ABS_LOCxe	murád fatíma də-l-χ’ə́-ʒa-ṭ	PN PN 3SG.H.ABS-3SG.F.IO-LOC-reach(AOR)-DCL	‘Murad caught up with Fatima.’		PN PN 3SG.H.ABS-3SG.F.IO-LOC-достичь(AOR)-DCL	‘Мурад догнал Фатиму.’	[хьы-]дза	МурАд ФатИма ды-л-хьы-дзА-тI
60	20	χ’a	ERG	ABS	TR	TR	s-aχš’á a-ẑ l-χ’a-ṭ	1SG.IO-sister DEF-cow 3SG.F.ERG-milk(AOR)-DCL	‘My sister milked the cow.’		1SG.IO-сестра DEF-корова 3SG.F.ERG-доить(AOR)-DCL	‘Моя сестра подоила корову.’	хьа	с-ахщА а-жв л-хьа-тI
60	21	[z-]na-ʒa	ABS	BEN	Y	ABS_BEN	murád a-nə́rĉ d-a-zə-na-ʒá-d	PN DEF-bank 3SG.H.ABS-3SG.N.IO-BEN-TRAL-reach(AOR)-DCL	‘Murad reached the river bank.’		PN DEF-берег 3SG.H.ABS-3SG.N.IO-BEN-TRAL-достичь(AOR)-DCL	‘Мурад достиг берега.’	[з-]на-дза	МурАд а-нЫрчв д-а-зы-на-дзА-д
60	22	[χ’ə-]sə	ABS	LOCxe	Y	ABS_LOCxe	rasúl a-bɮən d-a-χ’ə́-s-ṭ	PN DEF-wall 3SG.H.ABS-3SG.N.IO-LOC-touch(AOR)-DCL	‘Rasul touched the wall.’		PN DEF-стена 3SG.H.ABS-3SG.N.IO-LOC-трогать(AOR)-DCL	‘Расул дотронулся до стены.’	[хьы-]сы	РасУл а-бльын д-а-хьЫ-с-тI
60	23	[aba-]ḳə	ABS	SOC	Y	ABS_SOC	rasúl murád d-j-ába-ḳ-əj-ṭ	PN PN 3SG.H.ABS-3SG.M.IO-SOC-fight-PRS-DCL	‘Rasul is fighting with Murad.’		PN PN 3SG.H.ABS-3SG.M.IO-SOC-драться-PRS-DCL	‘Расул дерется с Мурадом.’	[аба-]кIы	РасУл МурАд д-й-Аба-кI-и-тI
60	24	nbž’aʕʷ	IO	ABS	X	IO_ABS	rasúl murád d-jə́-nbž’aʕʷ-ṗ	PN PN 3SG.H.ABS-3SG.M.IO-friend-NPST.DCL	‘Rasul is friends with Murad.’	Non-verbal predicate.	PN PN 3SG.H.ABS-3SG.M.IO-друг-NPST.DCL	‘Расул дружит с Мурадом.’	нбжьагIв	РасУл МурАд д-йы-нбжьАгIв-пI
60	25	[z-]qʷəc	ABS	BEN	Y	ABS_BEN	murad fatima d-lə-z-qʷə́c-əj-ṭ	PN PN 3SG.H.ABS-3SG.F.IO-BEN-think-PRS-DCL	‘Murad is thinking about Fatima.’		PN PN 3SG.H.ABS-3SG.F.IO-BEN-думать-PRS-DCL	‘Мурад думает о Фатиме.’	[з-]хъвыц	Мурад Фатима д-лы-з-хъвыц-и-тI
60	26	fa	ERG	ABS	TR	TR	a-phʷə́spa a-ĉ̣á l-fa-ṭ	DEF-girl DEF-apple 3SG.F.ERG-eat(AOR)-DCL	‘The girl ate the apple.’		DEF-девушка DEF-яблоко 3SG.F.ERG-есть(AOR)-DCL	‘Девушка съела яблоко.’	фа	а-пхIвЫспа а-чIвА йы-л-фа-тI
60	27	rə.ʒə	ERG	ABS	TR	TR	a-qác̣a a-pslaĉá j-rə́-ʒ-ṭ	DEF-man DEF-fish 3SG.M.ERG-CAUS-fry-DCL	‘The man fried the fish.’		DEF-мужчина DEF-рыба 3SG.M.ERG-CAUS-жариться-DCL	‘Мужчина пожарил рыбу.’	ры.дзы	а-хъАцIа а-пслачвА й-рЫ-дз-тI
60	28	[z-]pšə	ABS	BEN	Y	ABS_BEN	b-s-zə-m-pšə́-n	2SG.F.ABS-1SG.IO-BEN-NEG-wait-NEG.IMP	‘Don’t wait for me!’		2SG.F.ABS-1SG.IO-BEN-NEG-ждать-NEG.IMP	‘Не жди меня!’	[з-]пшы	п-с-зы-м-пшы-н
60	29	[q-]aštəl	LOCq	ABS	X	LOCq_ABS	murád jəʕʷbaχəwz a-mʕʷa j-q-áštəl-(χ-)ṭ	PN second DEF-road 3SG.M.IO-LOC-forget(AOR)-(RE)-DCL	‘Murad forgot about the other road.’		PN второй DEF-дорога 3SG.M.IO-LOC-забыть(AOR)-(RE)-DCL	‘Мурад забыл о другой дороге.’	[хъ-]аштыл	МурАд йыгIвбахуз а-мгIва й-хъ-Аштыл-(х-)тI
60	30	*	*	*	*		*	*	*	No satisfactory translation has been obtained.	*	*	*	*
60	31	ʕa-z-č̣ə-t	ERG	ABS	TR	TR	murád rasúl d-ʕa-z-č̣ə́-j-t-d	PN PN 3SG.H.ABS-CISL-BEN-LOC-3SG.M.ERG-call(AOR)-DCL	‘Murad called Rasul.’		PN PN 3SG.H.ABS-CISL-BEN-LOC-3SG.M.ERG-звать(AOR)-DCL	‘Мурад позвал Расула.’	гIа-з-шIы-т	МурАд РасУл д-гIа-з-шIИ-т-д
60	32	[aba-]dər	ABS	SOC	Y	ABS_SOC	fatíma murád c̣əpχ d-j-aba-də́r-d	PN PN last_year 3SG.H.ABS-3SG.M.IO-SOC-know(AOR)-DCL	‘Fatima got to know Murad a year ago.’		PN PN в.прошлом.году 3SG.H.ABS-3SG.M.IO-SOC-знать(AOR)-DCL	‘Фатима познакомилась с Мурадом год тому назад.’	[аба-]дыр	ФатИма МурАд цIыпх д-й-аба-дЫр-д
60	33	dər	ERG	ABS	TR	TR	fatíma murád də-l-də́r-əj-d	PN PN 3SG.H.ABS-3SG.F.ERG-know-PRS-DCL	‘Fatima knows Murad.’		PN PN 3SG.H.ABS-3SG.F.ERG-знать-PRS-DCL	‘Фатима знает Мурада.’	дыр	ФатИма МурАд ды-л-дЫр-и-д
60	34	sə	ABS	IO	Y	ABS_IO	fatíma gitára d-á-s-əj-d	PN guitar 3SG.H.ABS-3SG.N.IO-hit-PRS-DCL	‘Fatima is playing the guitar.’		PN гитара 3SG.H.ABS-3SG.N.IO-бить-PRS-DCL	‘Фатима играет на гитаре.’	сы	ФатИма гитАра д-А-с-и-д
60	35	*	*	*	*		*	*	*	No satisfactory translation has been obtained.	*	*	*	*
60	36	č’pa	ERG	ABS	TR	TR	rasúl bómba j-č’pa-d	PN bomb 3SG.M.ERG-make(AOR)-DCL	‘Rasul made a bomb.’		PN бомба 3SG.M.ERG-делать(AOR)-DCL	‘Расул изготовил бомбу.’	чпа	РасУл бОмба й-чпа-д
60	37	laq̇ərdə́ č’pa	ERG	ABS	TR	TR	zaréma rasúl laq̇ərdə́ də-l-č’p-ə́j-d	PN PN fun 3SG.H.ABS-3SG.F.ERG-make-PRS-DCL	‘Zarema is making fun of Rasul.’		PN PN ирония 3SG.H.ABS-3SG.F.ERG-делать-PRS-DCL	‘Зарема издевается над Расулом.’	лакъырдЫ чпа	ЗарЕма РасУл лакъырдЫ ды-л-чп-И-д
60	38	ma	IO	ABS	X	IO_ABS	zaréma mašína lə́-ma-b	PN car 3SG.F.IO-be-NPST.DCL	‘Zarema has a car.’		PN машина 3SG.F.IO-иметься-NPST.DCL	‘У Заремы есть машина.’	ма	ЗарЕма машИна лы-мА-б
60	39	[zə-]pšʕa	ABS	BEN	Y	ABS_BEN	á-č’ḳʷən a-c̣apχaṭə́ga d-a-zə́-pšʕ-əj-d	DEF-boy DEF-key 3SG.H.ABS-3SG.N.IO-BEN-look_for-PRS-DCL	‘The boy is looking for the key.’		DEF-парень DEF-ключ 3SG.H.ABS-3SG.N.IO-BEN-искать-PRS-DCL	‘Парень ищет ключ.’	[зы-]пшгIа	А-чкIвын а-цIапхатIЫга д-а-зЫ-пшгI-и-д
60	40	ŝə	ERG	ABS	TR	TR	á-č’ḳʷən a-gʷára j-ŝə́-d	DEF-boy DEF-fence 3SG.M.ERG-paint(AOR)-DCL	‘The boy painted the fence.’		DEF-парень DEF-забор 3SG.M.ERG-красить(AOR)-DCL	‘Парень покрасил забор.’	швы	А-чкIвын а-гвАра й-швЫ-д
60	41	cha	ABS	IO	Y	ABS_IO	a-lá sará j-ʕa-sə-cha-d	DEF-dog I 3SG.N.ABS-CISL-1SG.IO-bite(AOR)-DCL	‘The dog bit me.’		DEF-собака я 3SG.N.ABS-CISL-1SG.IO-кусать(AOR)-DCL	‘Собака укусила меня.’	цхIа	а-лА сарА й-гIа-сы-цхIа-д
60	42	[l-]qʷdaχa	ABS	LOCl	Y	ABS_LOCl	murád j-tʒə́ d-á-l-qʷdaχa-d	PN 3SG.M.IO-house 3SG.H.ABS-3SG.N.IO-LOC-lose(AOR)-DCL	‘Murad lost his house.’		PN 3SG.M.IO-дом 3SG.H.ABS-3SG.N.IO-LOC-лишиться(AOR)-DCL	‘Мурад лишился дома.’	[л-]хъвдаха	МурАд й-тдзЫ д-А-л-хъвдаха-д
60	43	ʕa-ḳə	ERG	ABS	TR	TR	a-phʷə́spa a-cgʷə́ ʕá-l-ḳ-əj-d	DEF-girl DEF-cat CISL-3SG.F.ERG-try_to_catch-PRS-DCL	‘The girl is trying to catch the cat.’		DEF-девушка DEF-кошка CISL-3SG.F.ERG-ловить-PRS-DCL	‘Девушка ловит кошку.’	гIа-кIы	а-пхIвЫспа а-цгвЫ гIА-л-к-Iи-д
60	44	qə-ĉ̣a	ERG	ABS	TR	TR	á-č’ḳʷən a-labá qə-j-ĉ̣á-d	DEF-boy DEF-stick LOC-3SG.M.ERG-break(AOR)-DCL	‘The boy broke the stick.’		DEF-парень DEF-палка LOC-3SG.M.ERG-ломать(AOR)-DCL	‘Парень сломал палку.’	хъы-чIва	А-чкIвын а-лабА хъ-и-чIвА-д
60	45	*	*	*	*		*	*	*	No satisfactory translation has been obtained.	*	*	*	*
60	46	bzəj ba	ERG	ABS	TR	TR	murád fatíma bzə́j də-j-b-ə́j-d	PN PN well 3SG.H.ABS-3SG.M.ERG-see-PRS-DCL	‘Murad loves Fatima.’		PN PN хорошо 3SG.H.ABS-3SG.M.ERG-видеть-PRS-DCL	‘Мурад любит Фатиму.’	бзи ба	МурАд ФатИма бзИ д-и-б-И-д
60	47	q̇’a	ERG	ABS	TR	TR	a-phʷə́spa á-ḳas l-q̇’-əj-d	DEF-girl DEF-shawl 3SG.F.ERG-wave-PRS-DCL	‘The girl is waving the shawl.’		DEF-девушка DEF-платок 3SG.F.ERG-махать-PRS-DCL	‘Девушка машет платком.’	къьа	а-пхIвЫспа А-кIас л-къь-и-д
60	48	[z-]qʷəc	ABS	BEN	Y	ABS_BEN	rasúl mašína–č̣əc d-a-z-qʷə́c-əj-d	PN car­–new3SG.H.ABS-3SG.N.IO-BEN-think-PRS-DCL	‘Rasul is dreaming of a new car.’		PN машина­–новый 3SG.H.ABS-3SG.N.IO-BEN-думать-PRS-DCL	‘Расул мечтает о новой машине.’	[з-]хъвыц	РасУл машИна–шIыц д-а-з-хъвыц-И-д
60	49	ʒ̂ʒ̂a	ERG	ABS	TR	TR	a-č’ḳʷən a-č̣’at j-ʒ̂ʒ̂a-d	DEF-boy DEF-cup 3SG.M.ERG-wash(AOR)-DCL	‘The boy washed the cup.’		DEF-парень DEF-чашка 3SG.M.ERG-мыть(AOR)-DCL	‘Парень вымыл чашку.’	джвджва	а-чкIвын а-чIат й-джвджва-д
60	50	ŝ-c̣a	LOCsERG	ABS	X	LOCsERG_ABS	a-qác̣a ajkʷá j-ŝ-jə́-c̣a-d	DEF-man trousers 3SG.M.IO-LOC-3SG.M.ERG-put(AOR)-DCL	‘The boy put on his trousers.’	The X argument is indexed on the verb twice (in the ergative slot and in the slot associated with the locative preverb ŝ-).	DEF-мужчина штаны 3SG.M.IO-LOC-3SG.M.ERG-класть(AOR)-DCL	‘Мужчина надел штаны.’	шв-цIа	а-хъАцIа айквА й-шв-И-цIа-д
60	51	χ’əz	*	*	*		arə́j a-pq̇ə́ʕʷa á-χ’əz kompas-b	PROX DEF-thing 3SG.N.IO-name compass-NPST.DCL	‘This thing is called a compass.’	Not included in the database because Y is expressed as a (non-verbal) predicate (not an argument). Non-verbal predicate.	PROX DEF-предмет 3SG.N.IO-имя компас-NPST.DCL	‘Этот предмет называется компас.’	хьыз	арИ а-пкъЫгIва А-хьыз компас-б
60	52	*	*	*	*		*	*	*	No satisfactory translation has been obtained.	*	*	*	*
60	53	[gʷə.kʷ-]sə	ABS	LOCgwekwe	Y	ABS_LOCgwekwe	á-mŝ a-pslaĉaḳʕʷə́ j-gʷə́.kʷ-s-d	DEF-bear DEF-fisherman 3SG.N.ABS+3SG.M.IO-LOC-hit(AOR)-DCL	‘The bear attacked the fisherman.’		DEF-медведь DEF-рыбак 3SG.N.ABS+3SG.M.IO-LOC-бить(AOR)-DCL	‘Медведь напал на рыбака.’	[гвыкв-]сы	А-мшв а-пслачвАкIгIвы й-гвЫкв-с-д
60	54	znaχa	IO	ABS	X	IO_ABS	a-pš’ərhá-kʷa ʒə́ rə́-zna-χa-d	DEF-bucket-PL water 3PL.IO-full-INC(AOR)-DCL	‘The buckets filled with water.’		DEF-ведро-PL вода 3PL.IO-полный-INC(AOR)-DCL 	‘Вёдра наполнились водой.’	знаха	а-пщырхIА-ква дзЫ рЫ-зна-ха-д
60	55	ʕa-aw	ERG	ABS	TR	TR	a-phʷə́spa a-c̣apχá ʕa-l-áw-d	DEF-girl DEF-key CISL-3SG.F.ERG-find(AOR)-DCL	‘The girl found the key.’		DEF-девушка DEF-ключ CISL-3SG.F.ERG-найти(AOR)-DCL	‘Девушка нашла ключ.’	гIа-ау	а-пхIвЫспа а-цIапхА гIа-л-Ау-д
60	56	gχa	IO	ABS	X	IO_ABS	murád ẑa–som-ḳ jə-gχ-ə́j-d	PN ten–rouble-UNIT 3SG.M.IO-lack-PRS-DCL	‘Murad is short ten roubles.’		PN десять–рубль-UNIT 3SG.M.IO-недоставать-PRS-DCL	‘Мураду недостает десяти рублей.’	гха	МурАд жва–сомкI йы-гх-И-д
