language_no	language_ru	language_en	contributor_ru	contributor_en	glottocode	data_collection_year	initial_release_date	last_release_date	macroarea	family (WALS)	genus (WALS)	latitude	longitude	contact_language	coding responsibility	payment	year when the language is mentioned as newly added in the yearly grant reports	markers.xlsx
11	чувашский (малокарачкинский диалект)	Chuvash (Maloe Karachkino)	Наталья Михайловна Заика	Natalia Zaika	viry1239	2021	December 1, 2022	December 1, 2022	Europe	Altaic	Turkic	55	47	Russian	Natalia Logvinova	Paid in 2021	2021	yes
12	шугнанский	Shughni	Роман Витальевич Ронько	Roman Ronko	shug1248	2021	December 5, 2022	December 5, 2022	North and Central Asia	Indo-European	Iranian	60	17	Russian	Elizaveta Zabelina	Paid in 2021	2022	yes
13	арабский	Arabic	Рамазан Гамидович Мамедщахов	Ramazan Mamedshakhov	arab1395	2021	December 1, 2022	December 1, 2022	West Asia and the Caucasus	Afroasiatic	Semitic	34	38	Russian	Natalia Logvinova	Paid in 2021	2021	yes
14	кхмерский	Khmer	Сергей Юрьевич Дмитренко	Sergey Dmitrenko	cent1989	2021	December 1, 2022	December 1, 2022	East and Southeast Asia	Austro-Asiatic	Khmer	12	105	Khmer	Elizaveta Zabelina	Paid in 2021	2021	yes
15	урду	Urdu	Елизавета Александровна Забелина	Elizaveta Zabelina	urdu1245	2021	December 1, 2022	December 1, 2022	South Asia	Indo-European	Indic	25	67	English	Elizaveta Zabelina	Paid in 2021	2021	yes
16	удмуртский (южный говор)	Udmurt (South)	Мария Олеговна Черемисинова, Елизавета Александровна Забелина	Maria Cheremisinova, Elizaveta Zabelina	sout2681	2021	December 1, 2022	December 1, 2022	Europe	Uralic	Permic	56	52	Russian	Elizaveta Zabelina	Paid in 2021	2021	yes
17	словенский	Slovenian	Сергей Сергеевич Сай	Sergey Say	slov1268	2021	December 1, 2022	December 1, 2022	Europe	Indo-European	Slavic	46	15	English	Sergey Say	Paid in 2021	2021	yes
18	шведский	Swedish	Варвара Петровна Шувалова	Varvara Shuvalova	swed1254	2021	December 1, 2022	December 1, 2022	Europe	Indo-European	Germanic	60	17	Russian	Sergey Say	Paid in 2021	2022	yes
19	лезгинский	Lezgian	Рамазан Гамидович Мамедщахов	Ramazan Mamedshakhov	lezg1247	2021	December 1, 2022	December 1, 2022	West Asia and the Caucasus	Nakh-Daghestanian	Lezgic	41	47	Russian	Natalia Logvinova	Paid in 2021	2021	yes
20	латышский	Latvian	Анна Дмитриевна Даугавет	Anna Daugavet	latv1249	2021	December 1, 2022	December 1, 2022	Europe	Indo-European	Baltic	57	24	Russian	Sergey Say	Paid in 2021	2022	yes
21	украинский	Ukrainian	Наталья Михайловна Заика	Natalia Zaika	ukra1253	2021	December 1, 2022	December 1, 2022	Europe	Indo-European	Slavic	50	30	Russian	Elizaveta Zabelina	Contribution paid in June 2022	2022	yes
22	немецкий	German	Дарья Алексеевна Алфимова	Daria Alfimova	stan1295	2022	December 1, 2022	December 1, 2022	Europe	Indo-European	Germanic	52	10	English	Natalia Logvinova	Paid in June 2022	2022	yes
23	итальянский	Italian	Кьяра Наккарато 	Chiara Naccarato	ital1282	2022	December 1, 2022	December 1, 2022	Europe	Indo-European	Romance	43	12	English	Natalia Logvinova	Paid in June 2022	2022	yes
24	польский	Polish	Сергей Сергеевич Сай	Sergey Say	poli1260	2022	December 1, 2022	December 1, 2022	Europe	Indo-European	Slavic	52	19	English	Sergey Say		2022	yes
25	испанский	Spanish	Татьяна Владимировна Репнина	Tatiana Repnina	stan1288	2022	December 1, 2022	December 1, 2022	Europe	Indo-European	Romance	40	-1	Russian	Natalia Logvinova	Probably an extra payment is due, because Tatiana spent some of her time interlinearizing the first (wrong) version of the data	2022	yes
26	албанский	Albanian	Мария Вячеславовна Гвоздкова	Maria Gvozdkova	alba1267	2022	December 1, 2022	December 1, 2022	Europe	Indo-European	Albanian	41	20	English	Sergey Say	Contribution paid in July 2022	2022	yes
27	восточноармянский	Armenian (Eastern)	Диана Гагиковна Микаелян, Максим Леонидович Федотов	Diana Mikaelian, Maksim Fedotov		2022			West Asia and the Caucasus	Indo-European	Armenian	40	45		Elizaveta Zabelina		2022	
28	баскский	Basque	Наталья Михайловна Заика	Natalia Zaika	basq1248	2022	December 1, 2022	December 1, 2022	Europe	Basque	Basque	43	-3	English	Elizaveta Zabelina		2022	yes
29	сербский	Serbian	Дарья Александровна Рыжова	Daria Ryzhova	serb1264	2022	December 1, 2022	December 1, 2022	Europe	Indo-European	Slavic	44	19	Russian	Natalia Logvinova		2022	yes
30	карельский	Karelian	Ирина Михайловна Горбунова	Irina Gorbunova	ludi1246	2022	December 1, 2022	December 1, 2022	Europe	Uralic	Finnic	64	32	Russian	Natalia Logvinova		2022	yes
31	казахский	Kazakh	Анастасия Жук	Anastasia Zhuk		2022			North and Central Asia	Altaic	Turkic	51	71	Russian	Natalia Logvinova		2022	
32	узбекский	Uzbek	Анастасия Жук	Anastasia Zhuk		2022			North and Central Asia	Altaic	Turkic	41	69	Russian	Elizaveta Zabelina		2022	
33	эскимосский (чаплинский)	Eskimo (Central Siberian Yupik)	Анастасия Борисовна Панова	Anastasia Panova	cent2128	2022	December 1, 2022	December 1, 2022	Eurasia	Eskimo-Aleut	Eskimo	65	-173	Russian	Natalia Logvinova		2022	yes
34	индонезийский	Indonesian (Standard)	Иван Валерьевич Неткачев	Ivan Netkachev	indo1316 	2022	December 1, 2022	December 1, 2022	Papunesia	Austronesian	Malayo-Sumbawan	0	106	English	Natalia Logvinova	Contribution paid in November 2022	2022	yes
35	норвежский (букмол)	Norwegian (Bokmål)	Ольга Васильевна Кузнецова	Olga Kuznetsova		2022			Europe	Indo-European	Germanic				Natalia Logvinova		2022	
36	севернохантыйский	Khanty (Northern)	Анастасия Анатольевна Дмитриева	Anastasia Dmitrieva		2022			Europe	Uralic	Ugric	65	65	Russian	Elizaveta Zabelina		2022	
37	китайский	Chinese (Mandarin)	Алевтина Анатольевна Уткина	Alevtina Utkina						Sino-Tibetan	Chinese			English	Elizaveta Zabelina		2022	
38	мокшанский	Moksha	Светлана Юрьевна Толдова	Svetlana Toldova		2022			Europe	Uralic	Mordvin	54	43	Russian	Natalia Logvinova			
39	тайский	Thai	Сергей Юрьевич Дмитренко	Sergey Dmitrenko		2022			Eurasia	Tai-Kadai	Kam-Tai				Elizaveta Zabelina			
40	хваршинский	Khwarshi	Ирина Михайловна Горбунова	Irina Gorbunova		2022			Eurasia	Nakh-Daghestanian	Avar-Andic-Tsezic	42	46		Natalia Logvinova			
