predicate_no	predicate_label_en	argument_frame_en	predicate_label_ru	argument_frame_ru	Abaza	Adyghe_West_Circassian	Aghul	Akhvakh_Northern	Albanian	Andi_Zilo	Arabic_Northern_Syrian	Arabic_South_Levantine_Nazareth	Arabic_Standard	Archi	Armenian_Eastern	Assyrian_Neo_Aramaic	Avar	Azerbaijani	Bafut	Bagvalal	Bambara	Bashkir	Basque	Belarusian	Bengali	Budugh	Bulgarian	Buriat	Catalan	Chechen	Chinese_Mandarin	Chirag	Chukchi	Chuvash	Croatian	Czech	Danish	Dargwa_Itsari	Dargwa_Kadar	Dargwa_Kaytag	Dargwa_Kubachi	Dargwa_Tsudakhar	Dargwa_Tsugni	Dutch	Enets_Forest	English	Erzya	Estonian	Evenki	Finnish	Finnish_Ingrian	French	Gascon	Gban	Georgian	German	Goo	Greek_Ancient	Greek_Modern	Guarani_Paraguayan	Guro	Hebrew_Modern	Hindi	Hungarian	Icelandic	Indonesian_Standard	Ingush	Irish	Italian	Japanese	Joola_Fonyi	Kalmyk	Karata	Kazakh	Khanty_Kazym	Khmer	Khoekhoe	Khwarshi	Komi_Permyak	Komi_Zyrian	Kpelle_Guinean	Kryz_Alik	Kryz_Ismayilli	Kryz_Proper	Kumyk	Kurdish_Sorani	Kurmanji_Northern_Kurdish	Lak_Quba	Latin	Latvian	Laz	Lezgian	Lezgian_Yargun	Lithuanian	Loma	Macedonian	Maltese	Mandinka	Maninka_Eastern	Mano	Mansi_Northern	Mari_Western	Mehweb	Mingrelian	Moksha	Nanai	Nivkh	Norwegian_Bokmal	Oromo_West_Central	Ossetic	Persian	Polish	Portuguese_Brazilian	Romani_Kalderash	Romanian	Russian	Rutul_Kina	Rutul_Mukhad	Rutul_Myukhrek	Rutul_Shin_Borch	Rutul_Shinaz	Saami_Skolt	Saami_South	Sagada	Serbian	Shughni	Slovak	Slovenian	Soninke	Spanish	Svan	Swedish	Tabasaran_Kandyk	Tagalog	Telugu	Tsakhur	Tswana	Turkish	Turoyo	Tuvinian	Twi	Udi	Udihe	Udmurt	Ukrainian	Ulcha	Uzbek	Wolof	Yakut	Yukaghir_Northern	Zazaki
1	feel_pain	X (have) Yache	болеть#часть тела#	у X-а (болеть) Y	IO_ABS		GEN_ABS	POSS_NOM	DAT_NOM	GEN_NOM	EXT&DO_SBJ			GEN_NOM		BARE_SBJ	GEN_NOM	GEN_NOM		GEN_NOM	DO_SBJ	GEN_NOM		DAT_NOM	GEN_NOM	LOC_NOM	DO_SBJ	GEN_NOM	NDIR.OBJ_SBJ	GEN_ABS		GEN_ABS	POSS_ABS	GEN_NOM	ACC_NOM	ACC_NOM		GEN_ABS	GEN_NOM	GEN_NOM	GEN_NOM	GEN_NOM	GEN_NOM		TOP_NOM		GEN_NOM		POSS_NOM	ADE_PART	AD_PART	SBJ_a(LOC)	SBJ_de	POSS&nen_SBJ	DAT_NOM	DAT_NOM	DO_SBJ	TR	GEN_NOM		POSS_HEAD			DAT_NOM	DAT_iDAT	SBJ_BARE			NDIR.OBJ_SBJ	TOP_NOM	ati_SBJ	GEN_NOM	POSS_NOM	GEN_NOM		TR		GEN1_ABS	GEN_NOM	GEN_NOM		GEN_NOM	INESS_NOM		GEN_NOM	EXT_SBJ.INTR			DAT_NOM	DAT_NOM	DAT_NOM		GEN_NOM	DAT_ACC	POSS_HEAD	ACC_SBJ		POSS.OBJ_SBJ	DO_SBJ	DO_SBJ		GEN_NOM	GEN_NOM	DAT_DAT	GEN_NOM		LOC/ABL_SBJ	SBJ_i	ABS_NOM	DAT_NOM		ACC_NOM	SBJ_de	ACC_NOM	ACC_NOM	uGEN_NOM	ATTR_NOM	GEN_NOM	ATTR_NOM	ATTR_NOM	ATTR_NOM			GEN1_ABS	ACC_NOM	LOC_NOM.CL	ACC_NOM	ACC_NOM	POSS.OBJ_SBJ	NDIR.OBJ_SBJ	DAT_NOM	SBJ_i	GEN_ABS		DAT_NOM		SBJ_ke	GEN_NOM		GEN_NOM		GEN_ABS	POSS_NOM	GEN_NOM	uGEN_NOM	DAT_NOM	GEN_NOM		POSS_NOM		
2	have#illness#	X (have) Y	болеть#болезнью#	X (болеть) Y-ом		POSS_ABS	DAT_ABS			NOM_COM	EXT&3end_BARE	EXT&ind_BARE	NOM_biGEN	DAT_NOM	NOM_NOM(NO.AGR)	SBJ_bi	NOM_ERG	NOM_NOM(NO.AGR)	nu_SBJ	NOM_ERG	DO_SBJ	NOM_menan	TR	NOM_naACC	GEN_NOM	NOM_NOM(NO.AGR)	SBJ_ot	NOM_DAT	TR	GEN_ABS	TR	ABS_ERG		NOM_INS	TR	TR	TR	ABS_GEN	SUPER_NOM	NOM_GEN	NOM_GEN	SUPER(LAT)_NOM	NOM_GEN	TR	NOM_LOC	TR	NOM_INE	ADESS_NOM	NOM_INSTR	ADE_NOM	NOM_AD	TR	TR	la_SBJ	DAT_NOM	TR	bha_SBJ	TR			ba_SBJ	le_SBJ	DAT_DIR	DAT_NOM	NOM_medACC	SBJ_BARE		ar_SBJ	TR	TOP_ZERO	OBJ_SBJ		EXT_NOM	NOM_INS	NOM_LOC	TR	TR	ABS_CONT	NOM_INS	NOM_INS	bha_SBJ	NOM_NOM(NO.AGR)	NOM_NOM(NO.AGR)	NOM_NOM(NO.AGR)	NOM_ABL	TR	SBJ.INTR_biOBL	NOM_GEN	NOM_ABL	NOM_arACC	DAT_NOM	SBESS_ABS	NOM_NOM(NSBJ)	NOM_INS	ma_SBJ	SBJ_od	TR	OBJ_SBJ	la_SBJ	mo_SBJ	NOM_INS	NOM_dono	SUPER.LAT_NOM	DAT_NOM	NOM_IN/marxta	NOM_INS	SBJ_INS	TR	ABS_NOM	NOM_ABL	TR	NOM_naACC	SBJ_com	LOC_NOM	TR	NOM_INS	DAT_NOM	DAT_NOM	DAT_NOM	NOM_COM	NOM_COM	LOC_NOM		ABS_POSS	TR	LOC_NOM.NO.CL	TR	TR	OBJ_SBJ	TR	DAT_NOM	TR	CONT_ABS	SBJNV_BARE	DAT_NOM	LAT_NOM	SBJ_ke	GEN_NOM	SBJ.SS_b		TR	ABS_ABS(NO.AGR)	NOM_INS	NOM_INS	NOM_naACC	NOM_INS	NOM_bilan	DO_SBJ	NOM_INS		TR
3	be_afraid	X (be afraid) of Y	бояться	X (бояться) Y-а	ABS_MAL	ABS_LOC	DAT_POST.ELAT	NOM_EL	NOM_ngaNOM	NOM_CONT	SBJ_men	SBJ_min	NOM_minGEN	NOM_COMP	NOM_ABL	SBJ_men	NOM_SUBEL	NOM_ABL	TR	NOM_CONTESS	SBJ_nye	NOM_ABL	ERG_DAT	NOM_GEN	TR	DAT_ABL	SBJ_ot	NOM_ABL	SBJ_de	ABS_LAT	TR	ABS_ANTE.ELAT	ABS_ALL	NOM_ABL	NOM_GEN	NOM_GEN	SBJ_for	ABS_ANTE.EL	NOM_EL	NOM_ANTEL	NOM_ANTEABL	NOM_ANTE.ESS	NOM_ANTE.ABL.DOWN	SBJ_van	TR	SBJ_of	NOM_ABL	NOM_PART	NOM_ABL	NOM_PART	NOM_PART	SBJ_de	SBJ_a	SBJ_ga	DAT_GEN	NOM_vorDAT	SBJ_gon	TR	TR	ACT_gui	SBJ_lee	SBJ_mi	DAT_ABL	NOM_ABL	NOM_vidACC	TR	NOM_LAT	ar_roimh	SBJ_di		TR	NOM_ABL	NOM_CONT	NOM_ABL	NOM_NOMewelt	TR	TR	ABS_CONT	NOM_ABL	NOM_ELA	SBJ_bha	DAT_ADEL	DAT_ADEL	DAT_SUBEL	NOM_ABL	SBJ.INTR_le	SBJ.INTR_jiOBL	NOM_SUPEL	TR	NOM_noGEN	DAT_ABL	DAT_POEL	DAT_SUB/POSTEL	NOM_GEN	SBJ_ba	SBJ_od	SBJ_minn	SBJ_la	SBJ_nye	SBJ_lee	NOM_EL	NOM_gec	NOM_SUPER.EL	DAT_ALL	NOM_ABL/ezda	NOM_INS	TR	SBJ_for	TR	NOM_ABL	NOM_azNOM	NOM_GEN	SBJ_de	NOM_ABL	DAT_de	NOM_GEN	DAT_SUP.EL	DAT_SUPEREL	DAT_SUPEREL	DAT_SUPEREL	DAT_EL	NOM_LOC	NOM_ELA	ABS_POSS	NOM_GEN	NOM.CL_EL	NOM_GEN	NOM_GEN	SBJ_yi	TR	DAT_BEN	SBJ_for	DAT_APUD.ELAT	ACT_CAUSE	DAT_ante	NOM_SUPEREL	TR	NOM_ABL	SBJ.SS_m	NOM_ABL	TR	ERG_ABL	NOM_INS	NOM_ABL	NOM_GEN	NOM_INS	TR	TR	NOM_ABL	TR	SBJ.INTR_ra.PSTP
4	throw	X (throw) Y	бросить	X (бросить) Y(-а)	TR	TR	TR	TR	TR	TR	TR	TR	TR	TR	TR	TR	TR	TR	TR	TR	TR	TR	TR	TR	TR	TR	TR	TR	TR	TR	TR	TR	TR	TR	TR	NOM_INS	TR	TR	TR	TR	TR	TR	TR	TR	TR	TR	TR	TR	TR	TR	TR	TR	TR	TR	TR	TR	TR	TR	TR	TR	TR	TR	TR	TR	NOM_DAT	TR	TR	TR	TR	TR	TR	TR	TR	TR	TR	TR	TR	TR	TR	TR	TR	TR	TR	TR	TR	TR	TR	TR	TR	TR	TR	TR	TR	TR	TR	TR	TR	TR	TR	TR	TR	TR	TR	TR	TR	TR	TR	TR	TR	TR	TR	TR	TR	TR	TR	TR	TR	TR	TR	TR	TR	TR	TR	TR	TR	TR	TR	TR	TR	TR	TR	TR	TR	TR	TR	TR	TR	TR	TR	TR	TR	TR	TR	TR	TR	TR	TR	TR	TR	TR	TR
5	have_enough	X (have enough) Y	быть достаточно	X-у (хватать) Y-а	BEN_ABS	BEN_ABS	DAT_ABS	DAT_NOM	DAT_NOM	DAT_NOM	DO_SBJ		liGEN_NOM	DAT_NOM	DAT_NOM	ka_SBJ	DAT_NOM	GEN_NOM			DO_SBJ	DAT_NOM		DAT_GEN	GEN_NOM	DAT_NOM	DAT(na)_SBJ	DAT_NOM		DAT_ABS		SUPER_ABS	POSS_ABS	OBJ_NOM				SUPER.LAT_ABS	DAT_NOM	DATLAT_NOM	TR	DAT_NOM	DAT_NOM		TOP_NOM		GEN_NOM		POSS_NOM	ADE_PART	ALL_PART			DO_SBJ	DAT_NOM	DAT_NOM		DAT_NOM	GEN_NOM	INACT_pe	POSS&DO_SBJ			DAT_NOM			DAT_NOM		NDIR.OBJ_SBJ	TOP_NOM	OBJ_SBJ	DAT_NOM	DAT_NOM	DAT_NOM	NOM_LOC			DAT_ABS	DAT_NOM	DAT_NOM	yei_SBJ	GEN_NOM		GEN_NOM	GEN_NOM	EXT_SBJ.INTR		DAT_NOM	DAT_NOM	DAT_GEN	DAT_NOM	DAT_ABS	DAT_NOM	DAT_GEN				SBJ_ma	kun_SBJ	kele_SBJ	NOM_INS	DAT_NOM	DAT_NOM	DAT_NOM	GEN_NOM	DAT_NOM(NO.AGR)				NOM_ABL		DAT_GEN		LOC_NOM		DAT_GEN	DAT_NOM	DAT_NOM	DAT_NOM	DAT_NOM	DAT_NOM	LOC_NOM	TR	DAT_ABS		LAT_NOM.NO.CL			OBJ_SBJ	NDIR.OBJ_SBJ	DAT_NOM		DAT_ABS	SBJNV_BARE			DO_SBJ	DAT_NOM	IO_SBJ	GEN_NOM		GEN_ABS	NOM_INS	GEN_NOM	DAT_GEN	DAT_NOM	GEN_NOM	DO_SBJ	DAT_NOM		re.PSTP_SBJ.INTR
6	resemble	X (resemble) Y	быть похожим	X (быть похожим) на Y(-а)	ABS_IO	ABS_DAT	ABS_DAT	NOM_LAT	NOM_DAT	NOM_AFF	TR	TR	TR	NOM_SUP.LAT	NOM_DAT	SBJ_al	NOM_LOC	NOM_DATLAT	TR	NOM_AFF	SBJ_fe	NOM_DAT		NOM_naACC		NOM_LOC	SBJ_na	NOM_DAT	SBJ_a	ABS_LAT	SBJ_xiang	ABS_SUPER	ABS_ALL	NOM_NOM(NO.AGR)	NOM_DAT	NOM_DAT	TR	ABS_SUPER.LAT	NOM_SUPER	NOM_SUPER	NOM_SUPERLAT	NOM_SUPER(LAT)	NOM_SUPER(LAT)	SBJ_op	NOM_OBLdez	TR	NOM_jonLAT	NOM_PART	TR	NOM_GEN		SBJ_NDIR.OBJ	SBJ_NDIR.OBJ	SBJ_nen	NOM_DAT	NOM_DAT	SBJ_bha	NOM_DAT	NOM_meACC		SBJ_ba	SBJ_le		NOM_SUB	NOM_DAT	SBJ_dengan	NOM_LAT	SBJ_le	SBJ_NDIR.OBJ	NOM_DAT	SBJ_di	TR	NOM_DAT	NOM_DAT		SBJ_nung	SBJ_khami	ABS_AD	NOM_SUPLAT	NOM_vile	SBJ_bha	NOM_EQU.ADJ.SUBST	NOM_SUPER	NOM_INLAT	NOM_DAT	SBJ.INTR_le	SBJ.INTR_IO	NOM_POSTEL	TR	TR	NOM_DAT	ABS_DAT	NOM_DAT	NOM_iACC	SBJ_ga	SBJ_na	SBJ_lil	SBJ_ko	SBJ_la	SBJ_ba		NOM_gan	NOM_COM	NOM_DAT	NOM_lanks	NOM_mat	TR	SBJ_pa	TR			NOM_doGEN	SBJ_com	NOM_pe	NOM_cu	NOM_naACC	NOM_INTER	NOM_CONT	NOM_CONT	NOM_CONT	NOM_CONT	NOM_GENvuakka	NOM_GEN	ABS_POSS	NOM_naACC	NOM.NO.CL_EQ	NOM_naACC	NOM_DAT		SBJ_NDIR.OBJ	NOM_DAT	TR	ABS_POST.LAT		NOM_OBLlaga	NOM_CONT	SBJ_le	NOM_DAT	SBJ.SS_IO	NOM_COM	TR	ABS_DAT	NOM_DIR	NOM_DAT	NOM_naACC	NOM_CMPR	NOM_DAT	SBJ_ni	NOM_DAT	NOM_langudeng	SBJ.INTR_ro.PREP
7	believe	X (believe) Y	верить	X (верить)Y-у	ERG_BEN	ERG_BEN	ABS_POST	NOM_LAT	NOM_DAT	NOM_SUPER.LAT	TR	TR	TR	NOM_SUP	NOM_DAT	SBJ_al	NOM_LOC	NOM_DATLAT	TR	NOM_SUPESS	SBJ_la	NOM_DAT	ERG_DAT	NOM_DAT	TR	ERG_LOC	SBJ_DAT(na)	NOM_DAT	SBJ_en	ABS_LAT	TR	ABS_SUPER	ABS_ALL	TR	NOM_DAT	NOM_DAT	SBJ_pa	ABS_SUPER.LAT	NOM_SUPER	NOM_DATLAT	NOM_DAT	NOM_SUPER(LAT)	NOM_SUPER(LAT)	TR	NOM_DAT	TR	NOM_DAT	NOM_PART	TR	NOM_PART	NOM_ALL	TR	TR	TR	DAT_GEN	NOM_DAT	SBJ_lie	NOM_DAT	TR	ACT_rehe	SBJ_la	SBJ_le	ERG_OBLpar	NOM_DAT	NOM_DAT	SBJ_pada	NOM_LAT	SBJ_i	SBJ_NDIR.OBJ	TR	TR	NOM_DAT	NOM_DAT	NOM_DAT	NOM_DAT	SBJ_lo	TR	ABS_SUPER	NOM_DAT	NOM_DAT	SBJ_la	NOM_SUPER	NOM_SUPER	NOM_APUD	NOM_DAT	SBJ.TR_be	SBJ.TR_jiOBL	NOM_SUPLAT	NOM_DAT	NOM_DAT	NOM_DAT	ABS_POESS	NOM_SUP	NOM_INS	SBJ_ya	SBJ_DAT(na)	SBJ_lil	SBJ_la	SBJ_la	SBJ_la	NOM_LAT	NOM_DAT	NOM_SUPER.LAT	DAT_GEN	NOM_DAT	TR		TR	TR	NOM_SUPER	NOM_beNOM	NOM_DAT	SBJ_em	TR	NOM_in	NOM_DAT	NOM_SUP	NOM_SUPER	NOM_SUPER	NOM_SUPER	NOM_SUPER	TR	TR	ABS_SUPER	NOM_DAT	NOM.CL_LAT	NOM_DAT	NOM_DAT	SBJ_yi	SBJ_NDIR.OBJ	DAT_GEN	TR	ABS_POST	ACT_LOC	TR	NOM_SUPERLAT	TR	NOM_DAT	SBJ_m	NOM_DAT	TR	ABS_DAT	TR	NOM_DAT	NOM_DAT	NOM_LAT	NOM_DAT	TR	NOM_DAT	TR	SBJ.TR_ra.PSTP
8	take	X (take) Y	взять	X (брать) Y(-а)	TR	TR	TR	TR	TR	TR	TR	TR	TR	TR	TR	TR	TR	TR	TR	TR	TR	TR	TR	TR	TR	TR	TR	TR	TR	TR	TR	TR	TR	TR	TR	TR	TR	TR	TR	TR	TR	TR	TR	TR	TR	TR	TR	TR	TR	TR	TR	TR	TR	TR	TR	TR	TR	TR	TR	TR	TR	TR	TR	TR	TR	TR	TR	TR	TR	TR	TR	TR	TR	TR	TR	TR	TR	TR	TR	TR	TR	TR	TR	TR	TR	TR	TR	TR	TR	TR	TR	TR	TR	TR	TR	TR	TR	TR	TR	TR	TR	TR	TR	TR	TR	TR	TR	TR	TR	TR	TR	TR	TR	TR	TR	TR	TR	TR	TR	TR	TR	TR	TR	TR	TR	TR	TR	TR	TR	TR	TR	TR	TR	TR	TR	TR	TR	TR	TR	TR	TR	TR	TR	TR	TR	TR	TR	TR	TR	TR	TR
9	see	X (see) Y	видеть	X (видеть) Y(-а)	TR	TR	DAT_ABS	DAT_NOM	TR	AFF_NOM	TR	TR	TR	DAT_NOM	TR	TR	LOC_NOM	TR	TR	AFF_NOM	TR	TR	TR	TR	TR	DAT_NOM	TR	TR	TR	DAT_ABS	TR	SUPER_ABS	TR	TR	TR	TR	TR	TR	TR	TR	DAT_NOM	DAT_NOM	DAT_NOM	TR	TR	TR	TR	NOM_PART	TR	TR	TR	TR	TR	SBJ_ye	TR	TR	TR	TR	TR	TR	TR	TR	TR	TR	TR	TR	DAT_NOM	TR	TR	DAT_NOM	TR	TR	DAT_NOM	TR	DAT_NOM	TR	TR	DAT_ABS	TR	TR	TR	DAT_NOM	DAT_NOM	DAT_NOM	TR	TR	TR	DAT_NOM	TR	TR	DAT_NOM	DAT_ABS	DAT_NOM	TR	TR	TR	TR	TR	TR	TR	TR	TR	CONT.LAT_NOM	NOM_DAT	TR	TR	TR	TR	TR	TR	TR	TR	TR	TR	TR	TR	DAT_NOM	DAT_NOM	DAT_NOM	DAT_NOM	DAT_NOM	TR	TR	DAT_ABS	TR	TR	TR	TR	TR	TR	NOM_DAT	TR	DAT_ABS	TR	TR	AFF_NOM	TR	TR	TR	TR	TR	TR	TR	TR	TR	TR	TR	TR	TR	TR	TR
10	influence	X (influence) Y	влиять	X (влиять) на Y(-а)					NOM_neACC		SBJ_3ala	SBJ_ala	NOM_alaaGEN		NOM_DATvra			NOM_DATLAT			SBJ_la	NOM_DAT	ERG_DAT	NOM_naACC	NOM_GENopar	ERG_LOC	SBJ_DAT(na)	NOM_DAT	TR		SBJ_dui		TR		NOM_naACC	TR	TR	ERG_SUPER.LAT						SBJ_op		TR	NOM_langILL	NOM_PART		NOM_ILL		SBJ_sur	TR		ERG_DAT.SUPERESS/SUPERLAT	TR		NOM_eisACC	TR			SBJ_al	ERG_DAT	TR	NOM_aACC	SBJ_pada	ERG_DAT	aige_ar	TR	NOM_DAT				NOM_DAT			TR		NOM_SUPLAT	NOM_vile		ERG_DAT	ERG_DAT	INEL_DAT	NOM_DAT	SBJ.INTR_le.ser	SBJ.TR_liOBL	NOM_SUPLAT	TR	TR		ERG_DAT	ERG_DAT	TR		SBJ_vrz	TR					TR	NOM_CONT.LAT	ERG_DAT				TR	NOM_ABSirratti	NOM_SUPER	NOM_barNOM	NOM_naACC	TR	NOM_pe	TR	NOM_naACC				ERG_DAT		NOM_ILL			NOM_naACC	NOM.CL_SUP	TR	NOM_naACC		SBJ_en	NOM_DAT	TR		TR		ERG_DAT	TR	TR	SBJ_7al	NOM_DAT	TR	TR		NOM_NOMvile	NOM_naACC		NOM_DAT	SBJ_ci	NOM_DAT		
